,loss,accuracy,val_loss,val_accuracy
0,0.3352857183872172,0.8896377682685852,0.07107755450237078,0.9865319728851318
1,0.053761326121752835,0.9823083281517029,0.061141099316704556,0.9730639457702637
2,0.03608726934477273,0.989890456199646,0.02026036304620844,0.9932659864425659
3,0.034247825757609,0.9873631000518799,0.01166051842965286,0.996632993221283
4,0.017510603079431093,0.9966301321983337,0.00912593458606689,1.0
5,0.014015360237134537,0.9974726438522339,0.004938238256482363,1.0
6,0.014181862161892487,0.9974726438522339,0.016466089337750615,0.9932659864425659
7,0.010569954345074562,0.9966301321983337,0.016189551933022586,0.9898989796638489
8,0.009510214395802264,0.9966301321983337,0.006779755449223548,1.0
9,0.013569011726390069,0.9957876801490784,0.004555112124116533,1.0
